Entity,Code,Year,Under-five mortality rate,GDP per capita,Population,World region
Turkey,TUR,2022,0.9630579,27361.988,87058470,Asia
Turkmenistan,TKM,2022,4.0390224,17234.555,7230198,Asia
Uganda,UGA,2022,4.052956,2122.0278,47312718,Africa
Ukraine,UKR,2022,0.85163975,7749.0996,41048767,Europe
United Arab Emirates,ARE,2022,0.5305399,77203.67,10242085,Asia
United Kingdom,GBR,2022,0.40942374,38406.53,68179315,Europe
United States,USA,2022,0.62515426,58487.465,341534041,North America
Uruguay,URY,2022,0.6624111,20181.94,3390913,South America
Uzbekistan,UZB,2022,1.3336881,12559.401,34938955,Asia
Venezuela,VEN,2022,2.4213321,5267.1753,28213016,South America
Vietnam,VNM,2022,2.0347033,8050.359,99680656,Asia
Yemen,YEM,2022,4.1312904,1959.3195,38222880,Asia
Zambia,ZMB,2022,5.5555067,3342.4214,20152934,Africa
Zimbabwe,ZWE,2022,4.7729063,1703.5294,16069061,Africa
