team,player_name,conc_player_name,position,games_played,games_started,minutes_played,goals,accurate_pass_percentage,assists,assists_avg_over_90_mins,total_scoring_attempts,on_target_scoring_attempts,total_attacking_assists,tackles,fouls_committed,fouls_suffered,total_offside,yellow_cards,red_cards,goals_avg_over_90_mins,penalty_kick_goals,penalty_kick_taken,penalty_kick_percentage,accurate_shooting_percentage,successful_dribble,dribble_percentage,goals_and_assists,accurate_passes,total_passes,accurate_pass_percentage,crosses,accurate_long_balls,successful_short_passes,turnovers,tackles_percentage,interceptions,headed_duel,saves,penalty_kicks_conceded,long_ball_percentage,total_clearance
Houston Dash,Hope Breslin,HOPEBRESLIN,FORWARD,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Houston Dash,Isabella Briede,ISABELLABRIEDE,MIDFIELDER,7,2,253,1,75,0,0,3,3,0,2,2,4,0,0,0,0.36,0,0,0,100,2,100,1,72,96,75,0,2,70,31,100,2,6,,,,
Angel City FC,Messiah Bright,MESSIAHBRIGHT,FORWARD,22,16,1379,6,68,0,0,31,12,0,14,20,6,11,2,0,0.39,0,0,0,39,29,50,6,186,273,68,2,3,181,229,54,1,64,,,,
Washington Spirit,Amber Jean Brooks,AMBER JEANBROOKS,DEFENDER,13,6,610,0,69,0,0,2,0,0,1,8,4,0,1,0,0,0,0,0,0,1,50,0,154,224,69,2,19,133,102,17,4,18,,,,
Seattle Reign,Ryanne Brown,RYANNEBROWN,DEFENDER,11,4,334,0,64,0,0,0,0,0,12,3,5,0,0,0,0,0,0,0,0,2,40,0,68,107,64,1,5,62,78,100,6,10,,,,
NJ/NY Gotham FC, Bruninha,BRUNINHA,DEFENDER,20,19,1688,2,76,1,0.05,5,3,1,22,17,15,1,2,0,0.11,0,0,0,60,23,59,3,574,757,76,6,27,541,337,76,23,21,,,,
San Diego Wave FC,Lauren Ann Brzykcy,LAUREN ANNBRZYKCY,GOALKEEPER,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orlando Pride,Haley Bugeja,HALEYBUGEJA,FORWARD,1,,23,0,73,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,67,0,11,15,73,0,1,10,7,100,0,1,,,,
Washington Spirit,Annaïg Butel,ANNAÏGBUTEL,DEFENDER,7,5,463,0,76,0,0,1,0,0,5,8,2,0,3,0,0,0,0,0,0,2,67,0,173,228,76,2,10,161,74,45,9,10,,,,
Bay FC,Scarlett Camberos Becerra,SCARLETTCAMBEROS BECERRA,FORWARD,20,11,993,1,62,3,0.27,15,7,3,12,13,9,4,0,0,0.09,0,0,0,47,11,55,4,146,236,62,3,7,136,184,67,7,38,,,,
Houston Dash,Jane Campbell,JANECAMPBELL,GOALKEEPER,22,22,1942,0,61,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,407,669,61,0,163,244,265,0,1,2,91,0,39,19
Seattle Reign,Marley Angelina Canales,MARLEY ANGELINACANALES,MIDFIELDER,2,,3,0,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,7,86,0,0,6,2,0,0,1,,,,
Washington Spirit,Gabrielle Carle,GABRIELLECARLE,DEFENDER,22,22,1899,0,69,1,0.05,2,0,1,32,17,10,2,2,0,0,0,0,0,0,11,48,1,401,579,69,6,27,368,318,74,36,21,,,,
San Diego Wave FC,Kyra Carusa,KYRACARUSA,FORWARD,8,4,344,2,63,0,0,7,5,0,3,9,4,3,0,0,0.52,0,0,0,71,3,75,2,45,71,63,0,2,43,53,100,2,13,,,,
Orlando Pride, Celia,CELIA,DEFENDER,8,1,193,0,71,0,0,1,1,0,3,4,1,0,0,0,0,0,0,0,100,1,33,0,51,72,71,1,0,50,41,75,4,11,,,,
Houston Dash,Allysha Chapman,ALLYSHACHAPMAN,DEFENDER,12,11,989,0,70,0,0,2,1,0,21,12,9,0,1,0,0,0,0,0,50,4,67,0,335,476,70,1,23,311,173,81,26,22,,,,
Orlando Pride,Simone Charley,SIMONECHARLEY,FORWARD,2,,57,0,83,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,4,80,0,15,18,83,1,0,14,9,100,0,5,,,,
Racing Louisville FC,Alexandra Carla Chidiac,ALEXANDRA CARLACHIDIAC,MIDFIELDER,8,,133,0,75,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,100,3,50,0,39,52,75,0,0,39,23,0,0,0,,,,
Kansas City Current,Rylan Savannah Childers,RYLAN SAVANNAHCHILDERS,MIDFIELDER,4,,16,0,90,0,0,0,0,0,1,3,1,0,1,0,0,0,0,0,0,0,0,0,18,20,90,0,0,18,3,100,1,0,,,,
North Carolina Courage,Sarah Clark,SARAHCLARK,DEFENDER,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Utah Royals FC,Mikayla Cluff,MIKAYLACLUFF,MIDFIELDER,22,17,1512,2,79,1,0.06,13,5,1,38,35,19,0,2,0,0.12,0,0,0,38,19,76,3,464,584,79,2,13,449,178,72,24,58,,,,
Portland Thorns,Samantha Coffey,SAMANTHACOFFEY,MIDFIELDER,23,23,2080,0,81,8,0.35,8,2,8,46,27,11,1,1,0,0,0,0,0,25,15,79,8,870,1070,81,7,63,800,309,67,38,41,,,,
San Diego Wave FC,Danielle Colaprico,DANIELLECOLAPRICO,MIDFIELDER,23,22,1826,0,81,1,0.05,5,1,1,15,20,43,0,3,0,0,0,0,0,20,7,64,1,545,669,81,2,39,504,183,44,39,21,,,,
Orlando Pride,Kaylie Ann Collins,KAYLIE ANNCOLLINS,GOALKEEPER,1,1,90,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,36,50,0,7,11,20,0,0,0,3,0,28,1
North Carolina Courage,Sydney Collins,SYDNEYCOLLINS,DEFENDER,4,2,194,0,85,0,0,0,0,0,9,3,1,0,0,0,0,0,0,0,0,2,67,0,138,163,85,0,7,131,35,90,4,14,,,,
Chicago Red Stars,Ava Cook,AVACOOK,FORWARD,20,10,961,3,68,0,0,13,4,0,11,14,29,0,2,0,0.28,0,0,0,31,16,53,3,163,241,68,2,2,159,168,50,9,53,,,,
Seattle Reign,Alana Cook,ALANACOOK,DEFENDER,21,21,1845,0,80,2,0.1,2,0,2,17,10,6,0,3,1,0,0,0,0,0,11,85,2,963,1202,80,4,131,828,274,63,34,46,,,,
Kansas City Current,Michelle Cooper,MICHELLECOOPER,FORWARD,21,17,1634,3,67,1,0.06,32,16,1,26,28,29,7,5,0,0.17,2,2,100,50,22,49,4,330,491,67,9,23,298,316,84,10,28,,,,
San Diego Wave FC,Chai Cortez,CHAICORTEZ,DEFENDER,2,1,66,0,55,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,100,0,11,20,55,0,1,10,18,50,0,5,,,,
Orlando Pride,McKinley Crone,MCKINLEYCRONE,GOALKEEPER,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chicago Red Stars,Chardonnay Curran,CHARDONNAYCURRAN,MIDFIELDER,13,3,304,0,71,0,0,3,2,0,1,7,6,0,0,0,0,0,0,0,67,4,33,0,70,98,71,0,1,69,56,50,3,9,,,,
Portland Thorns,Isabella D'Aquila,ISABELLAD'AQUILA,FORWARD,15,2,336,0,65,0,0,12,4,0,2,4,3,5,0,0,0,0,0,0,33,6,60,0,72,111,65,0,1,71,70,100,1,25,,,,
San Diego Wave FC,Abigail Dahlkemper,ABIGAILDAHLKEMPER,DEFENDER,6,6,540,1,81,0,0,3,1,0,1,1,2,0,1,0,0.17,0,0,0,33,1,100,1,267,331,81,0,28,239,68,33,4,10,,,,
NJ/NY Gotham FC,Tierna Davidson,TIERNADAVIDSON,DEFENDER,18,18,1613,0,82,0,0,1,0,0,16,7,8,0,1,0,0,0,0,0,0,5,62,0,744,911,82,0,67,677,187,67,16,36,,,,
Kansas City Current, Debinha,DEBINHA,MIDFIELDER,18,17,1526,9,75,2,0.12,31,17,2,11,13,11,5,1,0,0.53,2,2,100,55,32,42,11,394,524,75,2,10,382,336,48,10,10,,,,
Portland Thorns FC,Isabel Susan Dehakiz,ISABEL SUSANDEHAKIZ,MIDFIELDER,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
