Age,CurrentGender,BirthGender,MaritalStatus,RaceEthnicity,HouseholdIncome,Political,FoMOpreMean,FoMOHighorLow,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Imagination,ReligionFundamentalMean,condition,AwarenessComposite,JudgementComposite,PersonalRecallComposite,SocialRecallComposite,PersonalInferenceComposite,SocialInferenceComposite
45,1,1,1,2,6,4,2.0,1,4.0,4.5,3.25,2.75,3.75,5.83,1,4.62,-48.86,2.428571429,4.928571429,3.142857143,4.642857143
70,2,2,3,6,5,2,1.9,1,2.5,2.0,3.0,3.5,1.75,5.33,0,6.76,-92.86,2.285714286,4.214285714,1.214285714,2.714285714
58,2,2,5,6,2,4,1.9,1,2.5,3.75,3.75,4.0,3.75,8.67,0,6.33,-82.36,1.571428571,3.357142857,1.857142857,3.571428571
36,2,2,1,2,1,4,1.9,1,3.25,3.75,3.75,3.5,4.0,5.58,0,5.36,-23.5,3.285714286,4.0,2.5,3.428571429
52,2,2,1,6,5,5,1.9,1,4.25,4.75,3.75,3.25,3.75,4.83,0,5.79,-63.0,1.5,1.928571429,1.5,2.071428571
41,1,1,2,1,2,5,1.9,1,1.25,1.0,4.5,2.0,4.0,6.33,0,6.57,-84.93,1.0,3.0,1.214285714,4.142857143
48,2,2,1,6,3,7,1.9,1,1.5,3.5,3.5,3.0,3.5,4.83,0,5.6,-55.21,1.428571429,2.5,1.357142857,2.0
56,2,2,1,6,6,6,1.9,1,3.25,4.25,3.25,3.0,3.0,8.17,0,5.21,-45.57,1.642857143,1.857142857,1.714285714,1.785714286
30,1,1,1,2,2,2,1.9,1,1.75,3.0,2.5,3.0,3.25,7.92,1,5.29,-47.93,3.571428571,3.571428571,2.571428571,2.428571429
68,1,1,1,6,5,4,1.9,1,3.0,3.75,3.25,2.25,3.75,1.92,1,7.0,-86.21,2.642857143,2.428571429,1.857142857,2.071428571
81,1,1,1,2,6,4,1.9,1,3.0,4.0,4.0,2.5,3.75,4.67,1,4.48,-25.14,2.428571429,2.571428571,2.642857143,2.785714286
62,1,1,1,1,6,6,1.9,1,3.0,2.75,3.75,2.25,3.25,4.33,1,5.76,-82.43,1.0,1.428571429,1.0,1.214285714
50,2,2,1,1,4,4,1.9,1,3.5,4.0,4.75,1.75,4.5,1.67,1,6.62,-83.0,1.214285714,2.0,1.142857143,2.0
24,1,1,1,2,3,2,1.8,1,2.75,3.25,2.25,3.75,4.0,1.5,0,5.48,-41.64,2.571428571,3.785714286,2.5,4.071428571
52,1,1,2,6,2,1,1.8,1,4.0,5.0,3.5,2.5,2.75,5.0,0,5.1,-53.79,1.5,3.428571429,1.285714286,2.214285714
60,2,2,5,6,2,6,1.8,1,3.25,4.75,3.75,2.0,3.75,7.67,0,6.21,-80.71,1.0,1.0,1.0,1.0
70,1,1,1,6,6,7,1.8,1,2.0,4.0,3.5,2.0,3.75,5.0,0,5.07,-62.36,1.5,2.428571429,1.857142857,2.428571429
45,1,1,1,2,4,2,1.8,1,4.0,4.25,4.75,3.0,4.0,2.83,0,5.98,-59.86,1.357142857,3.285714286,1.571428571,3.357142857
66,1,1,1,6,4,4,1.8,1,2.0,3.25,3.25,2.25,2.0,6.92,0,5.86,-68.07,2.642857143,2.571428571,2.071428571,2.071428571
63,2,2,1,6,2,4,1.8,1,3.25,4.25,4.0,3.5,3.5,4.75,0,6.79,-87.57,2.571428571,6.571428571,1.285714286,6.571428571
30,1,1,2,6,6,1,1.8,1,2.5,5.0,4.5,2.5,4.75,4.83,0,6.76,-93.86,1.0,1.0,1.0,1.0
56,2,2,1,6,6,2,1.8,1,2.0,3.5,2.25,4.0,3.0,7.17,0,7.0,-100.0,1.285714286,3.428571429,1.285714286,3.571428571
58,2,2,2,4,1,4,1.8,1,1.5,2.0,2.5,4.25,3.25,7.17,0,5.26,-78.57,1.857142857,1.857142857,1.642857143,1.642857143
70,2,2,1,6,2,5,1.8,1,2.25,4.25,4.25,1.75,4.0,2.33,1,6.5,-85.21,1.5,5.142857143,1.214285714,5.214285714
54,1,1,3,6,2,5,1.8,1,1.5,4.0,4.75,1.0,3.0,5.33,1,6.31,-72.71,1.642857143,3.785714286,1.142857143,2.214285714
23,1,1,2,6,6,4,1.8,1,1.0,2.5,4.75,2.25,3.5,8.42,1,4.83,-76.29,1.0,1.214285714,1.214285714,1.428571429
37,2,2,2,6,3,2,1.8,1,2.75,4.0,3.75,2.75,3.75,1.92,1,6.45,-61.36,3.285714286,4.428571429,3.214285714,4.071428571
74,1,1,1,6,4,6,1.8,1,3.25,4.25,4.25,2.0,2.25,3.42,1,5.76,-67.07,1.857142857,3.285714286,1.428571429,3.357142857
21,1,1,2,6,7,5,1.8,1,2.25,3.25,4.0,1.25,3.5,7.0,1,5.21,-44.5,1.785714286,2.285714286,2.5,4.571428571
44,2,2,2,6,4,4,1.8,1,2.75,2.25,2.75,3.5,4.0,6.5,1,6.33,-81.79,1.285714286,4.642857143,1.357142857,4.428571429
50,2,2,2,2,2,4,1.7,0,2.25,3.5,3.0,2.75,3.0,4.92,0,4.52,-94.93,1.0,1.857142857,1.0,2.5
43,1,1,6,2,2,4,1.7,0,2.25,3.0,2.25,3.0,3.0,6.42,0,5.33,-93.21,5.571428571,5.714285714,1.857142857,3.857142857
42,2,2,1,2,5,7,1.7,0,2.0,3.75,3.75,3.0,2.25,2.0,0,4.67,-100.0,1.214285714,1.428571429,1.214285714,1.214285714
28,2,2,2,2,5,5,1.7,0,2.75,4.0,5.0,1.75,3.25,6.17,0,5.86,-72.79,1.071428571,4.0,1.285714286,3.857142857
35,2,2,4,6,6,6,1.7,0,3.25,3.5,3.25,3.5,3.0,4.42,0,4.1,-20.36,3.142857143,3.071428571,2.857142857,2.785714286
85,2,2,5,6,2,4,1.7,0,1.75,3.0,4.0,2.25,3.0,3.5,0,5.31,-75.07,1.0,6.071428571,1.0,6.071428571
57,2,2,1,6,6,6,1.7,0,2.25,3.25,4.75,1.25,4.5,8.0,0,6.19,-86.14,1.928571429,2.357142857,1.928571429,2.428571429
35,1,1,1,6,5,4,1.7,0,3.5,4.0,3.5,2.25,3.75,3.08,1,5.26,-3.93,2.071428571,2.0,2.071428571,2.142857143
53,1,1,1,6,4,2,1.7,0,2.75,3.75,3.75,1.75,4.25,2.42,1,5.9,-71.57,1.785714286,2.0,1.0,3.142857143
54,2,2,1,1,5,2,1.7,0,3.5,4.5,4.5,1.5,4.75,4.17,1,6.05,-64.86,1.357142857,1.357142857,1.928571429,1.928571429
46,1,1,2,6,2,1,1.7,0,2.75,3.25,4.25,2.75,4.25,5.92,1,5.45,-58.21,2.0,4.785714286,2.285714286,5.214285714
33,2,2,1,6,6,2,1.7,0,4.0,4.0,3.0,3.75,3.25,7.25,1,5.98,-66.14,2.357142857,6.071428571,2.785714286,5.928571429
56,2,2,4,6,2,4,1.7,0,4.25,3.5,5.0,2.25,4.5,4.0,1,5.33,-18.14,5.142857143,6.357142857,2.571428571,5.785714286
77,2,2,1,6,3,4,1.7,0,2.5,4.25,4.5,3.0,2.5,3.58,1,5.9,-71.93,1.0,1.0,1.0,1.0
63,2,2,1,6,3,4,1.7,0,2.5,4.0,3.75,3.5,2.75,5.75,1,6.45,-84.57,1.071428571,2.428571429,1.142857143,2.285714286
26,1,1,2,6,2,2,1.7,0,3.5,4.25,3.25,2.5,4.75,6.5,1,5.71,-61.0,3.428571429,6.428571429,3.571428571,6.928571429
42,2,2,3,4,2,4,1.7,0,2.75,3.0,3.5,4.25,3.5,7.67,1,5.1,-39.14,3.142857143,4.285714286,2.785714286,4.357142857
43,2,2,1,6,6,2,1.7,0,1.75,4.0,1.75,2.5,4.0,7.5,1,5.43,-37.5,2.785714286,5.071428571,2.642857143,5.071428571
34,1,1,1,2,4,6,1.6,0,2.75,4.25,4.25,3.0,2.5,6.83,0,6.36,-84.64,2.0,3.785714286,1.5,4.071428571
52,2,2,1,6,2,4,1.6,0,3.25,3.25,3.25,2.75,3.75,7.0,0,6.26,-45.93,2.0,2.214285714,2.071428571,2.214285714
75,2,2,3,7,3,4,1.6,0,2.5,4.0,3.75,2.0,4.5,6.33,0,5.21,-46.5,1.928571429,2.928571429,1.785714286,2.642857143
